from,to,time,,,,,,,
trv,cgh,1802,,,,,,,
trv,colo,1802,,,,,,,
trv,bmb,1802,,,,,,,
trv,tcy,1803,,,,,,,
trv,cal,1803,,,,,,,
trv,sha,1803,,,,,,,
mnr,mrs,1801,,,,,,,
mnr,mrs,1802,,,,,,,
mnr,sha,1802,,,,,,,
mnr,cta,1804,,,,,,,
mnr,mrs,1804,,,,,,,
mnr,mrs,1804,,,,,,,
mnr,sha,1805,,,,,,,
mnr,sag,1805,,,,,,,
sov,coc,1801,,,,,,,
sov,bmb,1802,,,,,,,
sov,sur,1802,,,,,,,
sov,ang,1802,,,,,,,
sov,cal,1802,,,,,,,
sov,mrs,1802,,,,,,,
sov,sha,1802,,,,,,,
sov,mrs,1804,,,,,,,
sov,cal,1804,,,,,,,
sov,kge,1804,,,,,,,
col,cal,1801,,,,,,,
col,kge,1801,,,,,,,
col,colo,1801,,,,,,,
col,sha,1801,,,,,,,
col,dh,1803,,,,,,,
col,sag,1803,,,,,,,
dor,waa,1801,,,,,,,
dor,sha,1801,,,,,,,
